cell,dataset,partition,threat,strength,flip_rate,seed,arm,final_acc,delta_acc,gap,recovery,auroc,rounds_to_target,n_excluded_pairs,false_excl_pairs,excl_precision,excl_clients,false_excl_clients
cifar10_dir1_label-flip_fr0.35_g_seed2,cifar10,dir1,label_flip,main,0.35,2,random_excl,0.529,-0.05225000000000002,0.04112499999999997,-1.2705167173252294,,,,,,,
cifar10_dir1_label-flip_fr0.35_g_seed2,cifar10,dir1,label_flip,main,0.35,2,flirds_gate_v1,0.60475,0.023499999999999965,0.04112499999999997,0.5714285714285711,0.8538739462063428,113.0,450.0,148.0,0.6711111111111111,96.0,49.0
cifar10_dir1_label-flip_fr0.35_g_seed2,cifar10,dir1,label_flip,main,0.35,2,flirds_gate_v2,0.548625,-0.032625000000000015,0.04112499999999997,-0.7933130699088156,0.6635889201124047,,5455.0,2047.0,0.6247479376718607,60.0,24.0
cifar10_dir1_label-flip_fr0.35_g_seed2,cifar10,dir1,label_flip,main,0.35,2,flirds_zgate_v2,0.5735,-0.007750000000000035,0.04112499999999997,-0.1884498480243171,0.9341629867523082,,,,,,
cifar10_dir1_label-flip_fr0.35_g_seed2,cifar10,dir1,label_flip,main,0.35,2,flirds_gatew_v2,0.581875,0.0006249999999999867,0.04112499999999997,0.015197568389057439,0.6471296668004818,,2907.0,951.0,0.672858617131063,38.0,15.0
cifar10_dir1_label-flip_fr0.35_g_seed2,cifar10,dir1,label_flip,main,0.35,2,flirds_gatew_v1,0.582375,0.0011249999999999316,0.04112499999999997,0.02735562310030231,0.7655560016057809,95.0,372.0,115.0,0.6908602150537635,92.0,45.0
cifar10_dir1_label-flip_fr0.35_g_seed2,cifar10,dir1,label_flip,main,0.35,2,flirds_mult,0.60025,0.018999999999999906,0.04112499999999997,0.4620060790273537,0.8109193095142513,113.0,,,,,
cifar10_dir1_label-flip_fr0.70_g_seed0,cifar10,dir1,label_flip,main,0.7,0,vanilla,0.556,0.0,0.071125,0.0,,,,,,,
cifar10_dir1_label-flip_fr0.70_g_seed0,cifar10,dir1,label_flip,main,0.7,0,oracle_excl,0.627125,0.071125,0.071125,1.0,,71.0,,,,,
cifar10_dir1_label-flip_fr0.70_g_seed0,cifar10,dir1,label_flip,main,0.7,0,random_excl,0.559875,0.003874999999999962,0.071125,0.05448154657293444,,,,,,,
cifar10_dir1_label-flip_fr0.70_g_seed0,cifar10,dir1,label_flip,main,0.7,0,flirds_gate_v1,0.6065,0.05049999999999999,0.071125,0.7100175746924428,0.9924337957124842,100.0,481.0,158.0,0.6715176715176715,92.0,53.0
cifar10_dir1_label-flip_fr0.70_g_seed0,cifar10,dir1,label_flip,main,0.7,0,flirds_gate_v2,0.564125,0.008124999999999938,0.071125,0.11423550087873376,0.8083228247162674,108.0,4242.0,1246.0,0.7062706270627063,52.0,18.0
cifar10_dir1_label-flip_fr0.70_g_seed0,cifar10,dir1,label_flip,main,0.7,0,flirds_zgate_v2,0.588875,0.03287499999999999,0.071125,0.46221441124780305,0.9899117276166456,,,,,,
