dataset,partition,threat,flip_rate,arm,final_acc,delta_acc,gap,recovery,rec_sd,auroc,false_excl_pairs,excl_precision,seeds,n_corrupt
fmnist,dir1,label_flip,0.15,flirds_gate_v1,0.7869999999999999,-0.025583333333333364,0.0261666666666666,0.8947368421052637,,0.9195041752030724,160.66666666666666,0.6928883452366895,3,44.666666666666664
fmnist,dir1,label_flip,0.15,flirds_gate_v2,0.8405416666666667,0.027958333333333307,0.0261666666666666,1.0,,0.8649106175885984,705.0,0.800902228077562,3,44.666666666666664
fmnist,dir1,label_flip,0.15,flirds_gatew_v1,0.8358333333333333,0.023249999999999955,0.0261666666666666,0.8385964912280707,,0.9194739275979487,130.66666666666666,0.6949584565873987,3,44.666666666666664
fmnist,dir1,label_flip,0.15,flirds_gatew_v2,0.8427083333333334,0.030124999999999957,0.0261666666666666,1.066666666666667,,0.823730957930264,1032.6666666666667,0.7321367385313846,3,44.666666666666664
fmnist,dir1,label_flip,0.15,flirds_mult,0.8308333333333334,0.01824999999999999,0.0261666666666666,0.6771929824561412,,0.8843459281633018,,,3,44.666666666666664
fmnist,dir1,label_flip,0.15,flirds_zgate_v2,0.8420833333333334,0.02949999999999997,0.0261666666666666,1.017543859649124,,0.9586139665286274,,,3,44.666666666666664
fmnist,dir1,label_flip,0.15,oracle_excl,0.83875,0.0261666666666666,0.0261666666666666,1.0,,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.15,random_excl,0.8263333333333334,0.013749999999999965,0.0261666666666666,0.9596491228070181,,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.15,vanilla,0.8125833333333334,0.0,0.0261666666666666,0.0,,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.35,flirds_gate_v1,0.8192916666666666,0.003916666666666642,0.023374999999999962,0.41343669250646076,,0.9956518364529007,167.33333333333334,0.7226464965192388,3,44.666666666666664
fmnist,dir1,label_flip,0.35,flirds_gate_v2,0.8303750000000001,0.015000000000000013,0.023374999999999962,0.7726098191214489,,0.8873155063075044,1323.6666666666667,0.7488066652588318,3,44.666666666666664
fmnist,dir1,label_flip,0.35,flirds_gatew_v1,0.8260416666666667,0.010666666666666677,0.023374999999999962,0.6253229974160214,,0.9926774780691504,143.0,0.7429826329924034,3,44.666666666666664
fmnist,dir1,label_flip,0.35,flirds_gatew_v2,0.8421249999999999,0.02674999999999998,0.023374999999999962,1.0852713178294584,,0.8919534161780223,1152.6666666666667,0.7675526880137401,3,44.666666666666664
fmnist,dir1,label_flip,0.35,flirds_mult,0.823875,0.008499999999999988,0.023374999999999962,0.5968992248062018,,0.9763964945584966,,,3,44.666666666666664
fmnist,dir1,label_flip,0.35,flirds_zgate_v2,0.8295416666666666,0.01416666666666666,0.023374999999999962,0.695090439276487,,0.9994647397296935,,,3,44.666666666666664
fmnist,dir1,label_flip,0.35,oracle_excl,0.83875,0.023374999999999962,0.023374999999999962,1.0,,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.35,random_excl,0.8177500000000001,0.002375000000000016,0.023374999999999962,0.8527131782945748,,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.35,vanilla,0.815375,0.0,0.023374999999999962,0.0,,,,,3,44.666666666666664
fmnist,dir1,label_flip,0.7,flirds_gate_v1,0.7932916666666667,0.0003750000000000142,0.04583333333333328,-0.248813891798055,1.183247131141256,1.0,196.66666666666666,0.7077572544015922,3,44.666666666666664
