dataset,scenario,seed,method,spearman_b,pearson_b,spearman_a,pearson_a,stage,partition,threat,flip_rate,cell,n_corrupt,kendall_b,cos_b,euc_b,maxdiff_b,auroc,spearman_vs_rate,spearman_vs_rate_corrupt,runtime_s
cifar10,label_flip@'0.35',0,loss-heur,0.9875427542754274,0.9900617992860267,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed0,39,0.9090909090909092,0.03524422571870889,0.17401174006498163,0.03648520064732386,0.9987389659520807,0.8427191449577375,nan,9.137665627058595
cifar10,label_flip@'0.35',1,(b)oracle,,,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,,,,,1.0,0.8653755759719296,nan,829.4577276829805
cifar10,label_flip@'0.35',1,Flirds,0.9990759075907588,0.9996320702071267,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.9826262626262628,0.00042408087055523236,0.026795014315605273,0.009862999799883115,1.0,0.8653755759719296,nan,11.166979913017713
cifar10,label_flip@'0.35',1,Flirds1st,0.9671167116711671,0.9766716577325691,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.8525252525252527,0.14103167527469262,0.44806841233243966,0.09874265040381858,1.0,0.8653755759719296,nan,4.310342061013216
cifar10,label_flip@'0.35',1,GTG,0.9557035703570356,0.9734896058452398,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.8189898989898992,0.026202160368548277,0.2463738609078231,0.06426977282871023,1.0,0.8653755759719296,nan,1030.6223895520088
cifar10,label_flip@'0.35',1,FedSV,0.9339333933393338,0.9609687730511475,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.7765656565656567,0.04374867426217699,1.6029911949228004,0.3592535996720905,1.0,0.8653755759719296,nan,297.72084664698923
cifar10,label_flip@'0.35',1,ComFedSV,0.28841284128412836,0.25137241030440943,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.18828282828282833,0.7487173061463351,3.2090966396661824,0.8429191631688736,0.6197916666666667,0.2073295650766081,nan,24.297336001996882
cifar10,label_flip@'0.35',1,ShapleyFL,0.8378637863786377,0.8993841290701289,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.6218181818181818,0.38680705688513195,5.969901509009225,0.9296786856040851,0.9959935897435898,0.8584414768054878,nan,1486.4807069200033
cifar10,label_flip@'0.35',1,FedIF,0.8573177317731772,0.8944808819006913,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.6521212121212122,0.4594902208976199,5.42160342073918,0.8412290241848177,0.9875801282051282,0.8438798685559601,nan,5.674489152996102
cifar10,label_flip@'0.35',1,loss-heur,0.9864266426642664,0.9921063532057921,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed1,48,0.9082828282828285,0.028511467264939028,0.18007989405960373,0.04136380113306501,1.0,0.8653755759719296,nan,9.289335259993095
cifar10,label_flip@'0.35',2,(b)oracle,,,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,,,,,1.0,0.8645083790650888,nan,832.311870533973
cifar10,label_flip@'0.35',2,Flirds,0.9987278727872786,0.9995736395329563,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.9757575757575758,0.0008093900093004702,0.03600613367077007,0.009001696872938836,1.0,0.8645083790650888,nan,10.363332221051678
cifar10,label_flip@'0.35',2,Flirds1st,0.976117611761176,0.979530470188244,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.873939393939394,0.13231064435276985,0.46462363349410374,0.09007990274962689,1.0,0.8645083790650888,nan,4.242048639105633
cifar10,label_flip@'0.35',2,GTG,0.9573117311731172,0.9746828707557027,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.8343434343434345,0.024920256524569417,0.3378443029478103,0.10272722525886074,1.0,0.8645083790650888,nan,979.2846520119347
cifar10,label_flip@'0.35',2,FedSV,0.9308970897089708,0.9633714663542863,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.7733333333333334,0.04022250977913844,1.9494668120784038,0.4771960043244891,1.0,0.8645083790650888,nan,291.84284510905854
cifar10,label_flip@'0.35',2,ComFedSV,0.18587458745874585,0.1961731547424492,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.1187878787878788,0.794348622351423,3.8052140211085272,1.2392528563229221,0.686069851465275,0.3217178913662535,nan,24.01723487302661
cifar10,label_flip@'0.35',2,ShapleyFL,0.8227782778277828,0.9061760640193492,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.6105050505050507,0.40042883190035305,5.861918029558262,0.9236287591426843,0.9995985547972702,0.8638142735820981,nan,1458.249989776872
cifar10,label_flip@'0.35',2,FedIF,0.8720432043204319,0.9129079661231533,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.66989898989899,0.4329095132555708,5.433696971581556,0.8668954863657782,0.9987956643918106,0.8624260626161163,nan,5.452627049991861
cifar10,label_flip@'0.35',2,loss-heur,0.9875307530753074,0.9920924137081386,,,c2fid,iid,label_flip,'0.35',cifar10_iid_label-flip_fr0.35_fid_seed2,47,0.9098989898989901,0.02405765814084837,0.18165806756367792,0.043947899909246524,1.0,0.8645083790650888,nan,9.296822191914544
cifar10,label_flip@'0.70',0,(b)oracle,,,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,,,,,1.0,0.8448499139715372,nan,831.7038680578116
cifar10,label_flip@'0.70',0,Flirds,0.9976837683768376,0.9995383916484277,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.9688888888888889,0.001360536060165285,0.14365607716738396,0.038380883031502555,1.0,0.8448499139715372,nan,10.994922190904617
cifar10,label_flip@'0.70',0,Flirds1st,0.9862226222622261,0.9895436912960202,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.9042424242424244,0.058801181246147416,0.8043041492957848,0.17849168559565903,1.0,0.8448499139715372,nan,4.248111875960603
cifar10,label_flip@'0.70',0,GTG,0.9435463546354634,0.9821781727388581,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.8032323232323233,0.017917879085876498,0.879609543264153,0.1692681575722158,1.0,0.8448499139715372,nan,693.6201763311401
cifar10,label_flip@'0.70',0,FedSV,0.9272247224722471,0.9796999840889075,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.7854545454545455,0.020630177299988173,4.994828411428607,1.0593915908109575,1.0,0.8448499139715372,nan,292.3114405130036
cifar10,label_flip@'0.70',0,ComFedSV,0.5135793579357936,0.5975655779232696,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.3450505050505051,0.4165324584642196,5.131485675854681,1.4024698118712515,0.8755779739386297,0.6346140379433111,nan,23.0992518379353
cifar10,label_flip@'0.70',0,ShapleyFL,0.749138913891389,0.9532901140462143,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.5321212121212122,0.4328504324765394,6.233147992080968,0.9090110013627888,1.0,0.8448499139715372,nan,1457.0014855850022
cifar10,label_flip@'0.70',0,FedIF,0.8530333033303329,0.955268436574761,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.6521212121212122,0.45141999229864627,5.571749429027323,0.7767523568782981,1.0,0.8448499139715372,nan,5.579512909986079
cifar10,label_flip@'0.70',0,loss-heur,0.9884188418841884,0.9943773188909016,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed0,39,0.9111111111111113,0.014616950537819307,0.3998948384577494,0.10443831147655608,1.0,0.8448499139715372,nan,9.171722193947062
cifar10,label_flip@'0.70',1,(b)oracle,,,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed1,48,,,,,1.0,0.8653755759719296,nan,840.022250544047
cifar10,label_flip@'0.70',1,Flirds,0.9988118811881187,0.9995493937131842,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed1,48,0.9793939393939396,0.0010952362318146225,0.12179858179656712,0.037166568534892364,1.0,0.8653755759719296,nan,10.993445742991753
cifar10,label_flip@'0.70',1,Flirds1st,0.9888508850885088,0.9936069526509402,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed1,48,0.9183838383838385,0.03321596149893602,0.6682286241651076,0.1602167206032883,1.0,0.8653755759719296,nan,4.291093984036706
cifar10,label_flip@'0.70',1,GTG,0.9524152415241524,0.980132690189096,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed1,48,0.8121212121212122,0.019895878334828532,1.0845741553815416,0.20860046719419936,1.0,0.8653755759719296,nan,649.3567321909359
cifar10,label_flip@'0.70',1,FedSV,0.9713411341134113,0.9887973737605992,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed1,48,0.8533333333333334,0.011396601715897625,4.479109546705505,1.0617936303691256,1.0,0.8653755759719296,nan,294.56144027097616
cifar10,label_flip@'0.70',1,ComFedSV,0.5008820882088209,0.4763996818598437,,,c2fid,iid,label_flip,'0.70',cifar10_iid_label-flip_fr0.70_fid_seed1,48,0.3446464646464647,0.5231042589027954,4.389200873401283,1.1754850880378882,0.7475961538461539,0.42852732848609965,nan,24.229019709979184
