r,S,size,n_S,u_true,u_t1,u_t2,resid1,resid2,norm_dS,c_S,u_renorm
1,0+2+3+4,4,800,-0.0013425350189208984,-0.0013483083312166855,-0.0013430383507753163,5.773312295787036e-06,5.033318544178655e-07,0.003411875983220062,1.25,-0.001676321029663086
1,1+2+3+4,4,800,-0.0014271736145019531,-0.0014358894259203225,-0.0014281111659748547,8.715811418369412e-06,9.375514729015322e-07,0.0035977050907553426,1.25,-0.0017817020416259766
1,0+1+2+3+4,5,1000,-0.0016667842864990234,-0.0016752502269810066,-0.0016677862307439284,8.465940481983125e-06,1.001944244904962e-06,0.004173571325570943,1.0,-0.0016667842864990234
2,0,1,200,-0.0002377033233642578,-0.0002379521174589172,-0.00023764080083310546,2.4879409465938807e-07,6.252253115235362e-08,0.001451251129610265,5.0,-0.001180887222290039
2,1,1,200,-0.0003218650817871094,-0.00032229619682766497,-0.00032178361647083875,4.3111504055559635e-07,8.146531627062359e-08,0.001389690012248764,5.0,-0.0015976428985595703
2,2,1,200,-0.00031256675720214844,-0.00031328859040513635,-0.00031284596855130076,7.218332029879093e-07,2.792113491523196e-07,0.0010845907231153942,5.0,-0.001554250717163086
2,3,1,200,-0.0005517005920410156,-0.0005546011379919946,-0.0005514265890269598,2.9005459509789944e-06,2.740030140557792e-07,0.0017400769906155274,5.0,-0.00269317626953125
2,4,1,200,-0.00022554397583007812,-0.0002255275467177853,-0.000225281719991699,1.6429112292826176e-08,2.622558383791329e-07,0.0010788623797722953,5.0,-0.0011203289031982422
2,0+1,2,400,-0.0005600452423095703,-0.0005602483142865822,-0.0005599464845431612,2.0307197701185942e-07,9.875776640910772e-08,0.0021099403473989766,2.5,-0.001397848129272461
2,0+2,2,400,-0.0005505084991455078,-0.0005512407078640535,-0.0005506782469382188,7.322087185457349e-07,1.697477927109503e-07,0.0020596501252858213,2.5,-0.0013735294342041016
2,0+3,2,400,-0.0007901191711425781,-0.0007925532554509118,-0.0007898576790523748,2.434084308333695e-06,2.614920902033191e-07,0.0023300368830784604,2.5,-0.0019636154174804688
2,0+4,2,400,-0.0004630088806152344,-0.0004634796641767025,-0.00046332130338555544,4.707835614681244e-07,3.124227703210636e-07,0.0019921922492601124,2.5,-0.0011570453643798828
2,1+2,2,400,-0.0006339550018310547,-0.0006355847872328013,-0.0006338924784756728,1.6297854017466307e-06,6.25233553819271e-08,0.0021635669372320272,2.5,-0.0015773773193359375
2,1+3,2,400,-0.0008733272552490234,-0.0008768973348196596,-0.0008736162940579106,3.5700795706361532e-06,2.890388088871987e-07,0.0023605717081890106,2.5,-0.002170562744140625
2,1+4,2,400,-0.0005462169647216797,-0.0005478237435454503,-0.0005465793082350956,1.6067788237705827e-06,3.623435134159081e-07,0.0020746685553375173,2.5,-0.0013606548309326172
2,2+3,2,400,-0.0008640289306640625,-0.000867889728397131,-0.0008644014188234905,3.860797733068466e-06,3.724881594280305e-07,0.002204943396213312,2.5,-0.0021467208862304688
2,2+4,2,400,-0.0005373954772949219,-0.0005388161371229216,-0.0005376853132332826,1.4206598279997706e-06,2.898359383607385e-07,0.0018340533569879544,2.5,-0.001338958740234375
2,3+4,2,400,-0.0007770061492919922,-0.0007801286847097799,-0.0007771444789881343,3.1225354177877307e-06,1.3832969614213653e-07,0.002165983702859695,2.5,-0.0019307136535644531
2,0+1+2,3,600,-0.0008716583251953125,-0.0008735369046917185,-0.0008722468241018078,1.8785794964060187e-06,5.884989064952606e-07,0.002856803036971323,1.6666666666666667,-0.0014507770538330078
2,0+1+3,3,600,-0.0011124610900878906,-0.0011148494522785768,-0.0011125694513225426,2.3883621906861663e-06,1.0836123465196579e-07,0.002896201448618838,1.6666666666666667,-0.0018510818481445312
2,0+1+4,3,600,-0.0007848739624023438,-0.0007857758610043675,-0.000785140958868169,9.018986020237207e-07,2.669964658252866e-07,0.0027429210043808153,1.6666666666666667,-0.0013070106506347656
2,0+2+3,3,600,-0.001102447509765625,-0.0011058418458560482,-0.001103023986402718,3.3943360904231668e-06,5.764766370930374e-07,0.0028675200233769854,1.6666666666666667,-0.0018341541290283203
2,0+2+4,3,600,-0.0007755756378173828,-0.0007767682545818388,-0.0007759163741809516,1.1926167644560337e-06,3.4073636356879433e-07,0.002669893144028383,1.6666666666666667,-0.0012912750244140625
2,0+3+4,3,600,-0.0010154247283935547,-0.0010180808021686971,-0.0010159743515743003,2.6560737751424313e-06,5.496231807455842e-07,0.0027913160742952864,1.6666666666666667,-0.0016901493072509766
2,1+2+3,3,600,-0.0011856555938720703,-0.001190185925224796,-0.0011858540173079746,4.530331352725625e-06,1.9842343590426026e-07,0.002996606874751695,1.6666666666666667,-0.0019702911376953125
2,1+2+4,3,600,-0.0008578300476074219,-0.0008611123339505866,-0.0008582457949302125,3.282286343164742e-06,4.157473227905939e-07,0.00284209497050481,1.6666666666666667,-0.0014262199401855469
2,1+3+4,3,600,-0.0010983943939208984,-0.0011024248815374449,-0.001098848155791643,4.030487616546452e-06,4.53761870744529e-07,0.002906025379648454,1.6666666666666667,-0.0018265247344970703
2,2+3+4,3,600,-0.0010890960693359375,-0.0010934172751149163,-0.0010896769334749479,4.321205778978765e-06,5.80864139010373e-07,0.0027475195164751373,1.6666666666666667,-0.0018110275268554688
2,0+1+2+3,4,800,-0.0014243125915527344,-0.0014281380426837131,-0.001424998652126419,3.825451130978763e-06,6.860605736846992e-07,0.003571418284661634,1.25,-0.0017795562744140625
2,0+1+2+4,4,800,-0.0010962486267089844,-0.0010990644514095038,-0.0010969989231170985,2.8158247005194426e-06,7.502964081140817e-07,0.0035009372464902583,1.25,-0.0013697147369384766
2,0+1+3+4,4,800,-0.0013377666473388672,-0.001340376998996362,-0.001338200095617026,2.6103516574949026e-06,4.334482781587212e-07,0.0034582399614499666,1.25,-0.0016713142395019531
2,0+2+3+4,4,800,-0.0013277530670166016,-0.0013313693925738335,-0.0013286982836149264,3.616325557231903e-06,9.452165983248051e-07,0.0034071271299592094,1.25,-0.001659393310546875
2,1+2+3+4,4,800,-0.0014100074768066406,-0.0014157134719425812,-0.0014106435037319898,5.705995135940611e-06,6.360269253491424e-07,0.003588287631251228,1.25,-0.0017604827880859375
2,0+1+2+3+4,5,1000,-0.0016491413116455078,-0.0016536655894014984,-0.0016501869211111853,4.5242777559906244e-06,1.045609465677444e-06,0.004165325918715837,1.0,-0.0016491413116455078
3,0,1,200,-0.0002384185791015625,-0.0002387444255873561,-0.00023854032103542977,3.2584648579359055e-07,1.2174193386726984e-07,0.0014506099552977424,5.0,-0.0011870861053466797
3,1,1,200,-0.0003199577331542969,-0.00032012342126108706,-0.00031974728068462355,1.6568810679018497e-07,2.1045246967332787e-07,0.0013859968210593455,5.0,-0.0015900135040283203
3,2,1,200,-0.0003094673156738281,-0.0003100403118878603,-0.00030972582769095425,5.729962140321732e-07,2.5851201712612237e-07,0.0010804917993342599,5.0,-0.0015408992767333984
3,3,1,200,-0.0005469322204589844,-0.0005503600696101785,-0.0005474563170082547,3.4278491511940956e-06,5.240965492703253e-07,0.0017384344933166313,5.0,-0.0026781558990478516
3,4,1,200,-0.00022530555725097656,-0.0002255360159324482,-0.00022539686560207883,2.3045868147164583e-07,9.130835110227054e-08,0.001081375056377277,5.0,-0.0011227130889892578
3,0+1,2,400,-0.0005586147308349609,-0.0005588678468484432,-0.0005590543823217331,2.53116013482213e-07,4.396514867721635e-07,0.002109361405104258,2.5,-0.0013973712921142578
3,0+2,2,400,-0.0005486011505126953,-0.0005487847374752164,-0.0005486951168052201,1.835869625210762e-07,9.396629252478306e-08,0.002056610493014564,2.5,-0.0013704299926757812
3,0+3,2,400,-0.0007870197296142578,-0.0007891044951975346,-0.0007871273827930736,2.0847655832767487e-06,1.0765317881578085e-07,0.0023308693065164188,2.5,-0.0019593238830566406
3,0+4,2,400,-0.0004642009735107422,-0.0004642804415198043,-0.0004645617993475071,7.946800906211138e-08,3.6082583676488866e-07,0.001996144614045584,2.5,-0.001161336898803711
3,1+2,2,400,-0.0006287097930908203,-0.0006301637331489474,-0.0006290011395577721,1.4539400581270456e-06,2.913464669518362e-07,0.0021565230791201796,2.5,-0.0015668869018554688
3,1+3,2,400,-0.0008676052093505859,-0.0008704834908712655,-0.0008679638633850573,2.878281520679593e-06,3.586540344713285e-07,0.002359688612489047,2.5,-0.0021588802337646484
3,1+4,2,400,-0.0005445480346679688,-0.0005456594371935353,-0.0005449040153848728,1.1114025255665183e-06,3.559807169040141e-07,0.00207331949322335,2.5,-0.0013587474822998047
3,2+3,2,400,-0.0008575916290283203,-0.0008604003814980388,-0.0008576544444878209,2.8087524697184563e-06,6.281545950059808e-08,0.0022030117319494008,2.5,-0.002132415771484375
3,2+4,2,400,-0.0005342960357666016,-0.0005355763278203085,-0.0005349184845897526,1.280292053706944e-06,6.224488231509895e-07,0.0018321096962183327,2.5,-0.0013337135314941406
3,3+4,2,400,-0.0007734298706054688,-0.0007758960855426267,-0.0007736113201701755,2.466214937157929e-06,1.8144956470678153e-07,0.0021701690454217267,2.5,-0.0019240379333496094
3,0+1+2,3,600,-0.0008680820465087891,-0.0008689081587363034,-0.0008687372092737178,8.261122275143862e-07,6.551627649287184e-07,0.002852529594811399,1.6666666666666667,-0.0014464855194091797
3,0+1+3,3,600,-0.001107931137084961,-0.0011092279164586216,-0.001108401709771556,1.2967793736606836e-06,4.705726865950055e-07,0.002898806080331287,1.6666666666666667,-0.0018453598022460938
3,0+1+4,3,600,-0.0007843971252441406,-0.0007844038627808914,-0.0007848357297319808,6.737536750733852e-09,4.3860448784016626e-07,0.0027455462362808688,1.6666666666666667,-0.0013074874877929688
3,0+2+3,3,600,-0.0010974407196044922,-0.0010991448070853949,-0.0010977544783514759,1.7040874809026718e-06,3.1375874698369444e-07,0.002867398276618384,1.6666666666666667,-0.0018267631530761719
3,0+2+4,3,600,-0.0007741451263427734,-0.0007743207534076646,-0.0007745123864140169,1.7562706489115953e-07,3.6726007124343596e-07,0.002670161454995853,1.6666666666666667,-0.0012900829315185547
3,0+3+4,3,600,-0.0010135173797607422,-0.0010146405111299828,-0.001013906998664993,1.123131369240582e-06,3.8961890425071033e-07,0.0027984608247094054,1.6666666666666667,-0.0016880035400390625
3,1+2+3,3,600,-0.001177072525024414,-0.0011805238027591258,-0.0011776900220468178,3.4512777347117662e-06,6.174970224037679e-07,0.002993556183843375,1.6666666666666667,-0.0019578933715820312
3,1+2+4,3,600,-0.0008535385131835938,-0.0008556997490813956,-0.0008539536655547408,2.1612358978018165e-06,4.1515237114708725e-07,0.002836908479624428,1.6666666666666667,-0.0014200210571289062
3,1+3+4,3,600,-0.001093149185180664,-0.0010960195068037137,-0.0010938787356451485,2.8703216230496764e-06,7.295504644844186e-07,0.002909278959897527,1.6666666666666667,-0.001819610595703125
3,2+3+4,3,600,-0.0010833740234375,-0.001085936397430487,-0.0010836052389464612,2.562373992986977e-06,2.3121550896121335e-07,0.0027496420289292167,1.6666666666666667,-0.001802206039428711
3,0+1+2+3,4,800,-0.0014178752899169922,-0.001419268228346482,-0.0014185568365121526,1.3929384294897318e-06,6.815465951603983e-07,0.003571307872253829,1.25,-0.001771688461303711
3,0+1+2+4,4,800,-0.0010933876037597656,-0.0010944441746687517,-0.001094314347980685,1.056570908986032e-06,9.267442209193177e-07,0.0034993335201836937,1.25,-0.0013666152954101562
3,0+1+3+4,4,800,-0.0013341903686523438,-0.0013347639323910698,-0.0013349411947416456,5.735637387260795e-07,7.508260893018814e-07,0.0034655161917349214,1.25,-0.0016672611236572266
3,0+2+3+4,4,800,-0.001323699951171875,-0.001324680823017843,-0.0013243298855201147,9.808718459680676e-07,6.29934348239658e-07,0.003411773078345141,1.25,-0.0016541481018066406
3,1+2+3+4,4,800,-0.0014023780822753906,-0.001406059818691574,-0.0014034006856036285,3.681736416183412e-06,1.0226033282378921e-06,0.0035884458672819004,1.25,-0.0017523765563964844
3,0+1+2+3+4,5,1000,-0.0016436576843261719,-0.0016448042442789301,-0.0016448921127789617,1.1465599527582526e-06,1.2344284527898708e-06,0.004169023518790357,1.0,-0.0016434192657470703
4,0,1,200,-0.0002410411834716797,-0.00024147280782926828,-0.00024136063763080529,4.316243575885892e-07,3.194541591255984e-07,0.0014512216745532379,5.0,-0.001203298568725586
4,1,1,200,-0.0003197193145751953,-0.0003201544750481844,-0.00031989955238032053,4.3516047298908234e-07,1.8023780512521625e-07,0.0013836634511359648,5.0,-0.001592397689819336
4,2,1,200,-0.000308990478515625,-0.00030936216353438795,-0.00030915953796295526,3.7168501876294613e-07,1.6905944733025535e-07,0.0010796536258685153,5.0,-0.0015404224395751953
4,3,1,200,-0.0005459785461425781,-0.0005485169822350144,-0.0005458462285332644,2.5384360924363136e-06,1.3231760931375902e-07,0.0017372183544179364,5.0,-0.0026738643646240234
4,4,1,200,-0.00022721290588378906,-0.0002277057501487434,-0.00022765748296649235,4.928442649543285e-07,4.445770827032902e-07,0.0010865059808599672,5.0,-0.0011358261108398438
4,0+1,2,400,-0.0005617141723632812,-0.0005616272828774527,-0.0005622512300647031,8.688948582857847e-08,5.370577014218725e-07,0.002111762602036621,2.5,-0.0014069080352783203
4,0+2,2,400,-0.0005509853363037109,-0.0005508349713636562,-0.0005511640143396335,1.5036494005471468e-07,1.786780359225304e-07,0.0020578207965815417,2.5,-0.0013778209686279297
4,0+3,2,400,-0.0007882118225097656,-0.0007899897900642827,-0.0007886483284664791,1.7779675545170903e-06,4.3650595671351766e-07,0.0023337807243778196,2.5,-0.0019648075103759766
4,0+4,2,400,-0.0004696846008300781,-0.00046917855797801167,-0.0004698468321890914,5.060428520664573e-07,1.6223135901327623e-07,0.0020039962327109096,2.5,-0.0011758804321289062
4,1+2,2,400,-0.0006287097930908203,-0.0006295166385825723,-0.000628822663522044,8.068454917520285e-07,1.1287043122365503e-07,0.002154170219188234,2.5,-0.001567840576171875
4,1+3,2,400,-0.0008664131164550781,-0.0008686714572831988,-0.0008668299850569383,2.2583408281207085e-06,4.168686018601875e-07,0.002361101139835739,2.5,-0.0021584033966064453
4,1+4,2,400,-0.0005466938018798828,-0.0005478602251969278,-0.0005475346953147664,1.1664233170449734e-06,8.408934348835828e-07,0.002076050309625381,2.5,-0.0013661384582519531
4,2+3,2,400,-0.0008554458618164062,-0.0008578791457694024,-0.0008557899221983689,2.4332839529961348e-06,3.440603819626631e-07,0.002204374010285884,2.5,-0.0021300315856933594
4,2+4,2,400,-0.0005366802215576172,-0.0005370679136831313,-0.000536822442661844,3.8769212551414967e-07,1.422211042267918e-07,0.0018358996920258656,2.5,-0.0013394355773925781
4,3+4,2,400,-0.0007741451263427734,-0.0007762227323837578,-0.0007745513909043211,2.077606040984392e-06,4.0626456154768675e-07,0.0021774398654793117,2.5,-0.001928567886352539
4,0+1+2,3,600,-0.0008711814880371094,-0.0008709894464118406,-0.0008718181799522995,1.9204162526875734e-07,6.366919151901129e-07,0.0028545395784412993,1.6666666666666667,-0.0014524459838867188
4,0+1+3,3,600,-0.0011098384857177734,-0.0011101442651124671,-0.0011106231250437304,3.0577939469367266e-07,7.846393259569595e-07,0.002905576680065837,1.6666666666666667,-0.001850128173828125
4,0+1+4,3,600,-0.0007898807525634766,-0.0007893330330261961,-0.0007907150845909428,5.477195372804999e-07,8.343320274661892e-07,0.002753990365819853,1.6666666666666667,-0.001318216323852539
4,0+2+3,3,600,-0.0010986328125,-0.0010993519535986707,-0.0010992358608774566,7.191410986706614e-07,6.030483774566164e-07,0.0028724205412985968,1.6666666666666667,-0.0018303394317626953
4,0+2+4,3,600,-0.0007789134979248047,-0.0007785407215123996,-0.000779655630630316,3.7277641240507364e-07,7.42132705511267e-07,0.002677492010026372,1.6666666666666667,-0.001299142837524414
4,0+3+4,3,600,-0.0010173320770263672,-0.001017695540213026,-0.0010181822024293297,3.6346318665891886e-07,8.501254029624761e-07,0.0028105712109660905,1.6666666666666667,-0.0016961097717285156
4,1+2+3,3,600,-0.0011758804321289062,-0.0011780336208175868,-0.001176537251900811,2.1531886886805296e-06,6.56819771904793e-07,0.0029960655190112077,1.6666666666666667,-0.0019576549530029297
4,1+2+4,3,600,-0.0008556842803955078,-0.0008572223887313157,-0.0008564632281888862,1.5381083358079195e-06,7.789477933783928e-07,0.00283906501443852,1.6666666666666667,-0.0014247894287109375
4,1+3+4,3,600,-0.001094818115234375,-0.0010963772074319422,-0.0010955128073959486,1.5590921975672245e-06,6.946921615735846e-07,0.002917718362869744,1.6666666666666667,-0.00182342529296875
