cell,scale,regime,seed,method,spearman,kendall,pearson_vs_b,runtime
7B_anchor5_seed0,7B,anchor5,0,ShapleyFL,0.9999999999999999,0.9999999999999999,0.9850677759570541,14928.928702807985
7B_anchor5_seed0,7B,anchor5,0,FedIF,0.8999999999999998,0.7999999999999999,0.9197724270541983,986.0608951402828
7B_anchor5_seed0,7B,anchor5,0,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999650837691,14960.289631209802
7B_anchor5_seed0,7B,anchor5,0,loss-heur,0.9999999999999999,0.9999999999999999,0.9999977550641314,4648.880358139053
7B_anchor5_seed1,7B,anchor5,1,Flirds,0.9999999999999999,0.9999999999999999,0.9999996444995285,2976.863363700919
7B_anchor5_seed1,7B,anchor5,1,Flirds1st,0.9999999999999999,0.9999999999999999,0.9999986752002807,956.3911642772146
7B_anchor5_seed1,7B,anchor5,1,GTG,0.9999999999999999,0.9999999999999999,0.9996728634083033,14700.295195676852
7B_anchor5_seed1,7B,anchor5,1,FedSV,0.8999999999999998,0.7999999999999999,0.9475494046433829,14564.183492956217
7B_anchor5_seed1,7B,anchor5,1,ComFedSV,0.3,0.19999999999999998,0.22550539965400915,11353.025941161439
7B_anchor5_seed1,7B,anchor5,1,ShapleyFL,0.7999999999999999,0.6,0.8213691687180792,14532.747495434713
7B_anchor5_seed1,7B,anchor5,1,FedIF,-0.6,-0.39999999999999997,-0.3086865923898202,959.4164897860028
7B_anchor5_seed1,7B,anchor5,1,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999306230309,14565.043433479033
7B_anchor5_seed1,7B,anchor5,1,loss-heur,0.9999999999999999,0.9999999999999999,0.9999990768417937,4525.171973314136
7B_anchor5_seed2,7B,anchor5,2,Flirds,0.9999999999999999,0.9999999999999999,0.9999996058395212,3051.8220392968506
7B_anchor5_seed2,7B,anchor5,2,Flirds1st,0.9999999999999999,0.9999999999999999,0.9999954638285455,984.5054390528239
7B_anchor5_seed2,7B,anchor5,2,GTG,0.9999999999999999,0.9999999999999999,0.9997399981386286,15131.495653097983
7B_anchor5_seed2,7B,anchor5,2,FedSV,0.8999999999999998,0.7999999999999999,0.9406143081992471,15225.157090846915
7B_anchor5_seed2,7B,anchor5,2,ComFedSV,0.7,0.6,0.7483277985138651,11693.786496502347
7B_anchor5_seed2,7B,anchor5,2,ShapleyFL,0.7,0.6,0.9035374291478903,14974.827596480958
7B_anchor5_seed2,7B,anchor5,2,FedIF,0.3,0.19999999999999998,0.49257473404090063,987.0749187041074
7B_anchor5_seed2,7B,anchor5,2,Banzhaf,0.9999999999999999,0.9999999999999999,0.9999999709345321,15006.779247464146
7B_anchor5_seed2,7B,anchor5,2,loss-heur,0.9999999999999999,0.9999999999999999,0.9999987159719068,4663.697838874999
